1000, 0.03888, 0.005
2000, 0.02101, 0.005
3000, 0.01776, 0.005
4000, 0.01551, 0.005
5000, 0.01417, 0.005
6000, 0.01321, 0.005
7000, 0.01203, 0.005
8000, 0.01147, 0.005
9000, 0.01081, 0.005
10000, 0.01011, 0.005
11000, 0.01323, 0.02
12000, 0.01106, 0.02
13000, 0.00981, 0.02
14000, 0.00911, 0.02
15000, 0.00847, 0.02
16000, 0.00791, 0.02
17000, 0.00768, 0.02
18000, 0.00731, 0.02
19000, 0.00690, 0.02
20000, 0.00678, 0.02
21000, 0.00679, 0.02
22000, 0.00651, 0.02
23000, 0.00630, 0.02
24000, 0.00619, 0.02
25000, 0.00599, 0.02
26000, 0.00570, 0.02
27000, 0.00555, 0.02
28000, 0.00555, 0.02
29000, 0.00549, 0.02
30000, 0.00544, 0.02
31000, 0.00519, 0.02
32000, 0.00520, 0.02
33000, 0.00526, 0.02
34000, 0.00500, 0.02
35000, 0.00518, 0.02
36000, 0.00508, 0.02
37000, 0.00501, 0.02
38000, 0.00486, 0.02
39000, 0.00484, 0.02
40000, 0.00477, 0.02
41000, 0.00465, 0.02
42000, 0.00459, 0.02
43000, 0.00451, 0.02
44000, 0.00457, 0.02
45000, 0.00460, 0.02
46000, 0.00444, 0.02
47000, 0.00443, 0.02
48000, 0.00428, 0.02
49000, 0.00439, 0.02
50000, 0.00428, 0.02
51000, 0.00421, 0.02
52000, 0.00427, 0.02
53000, 0.00425, 0.02
54000, 0.00414, 0.02
55000, 0.00413, 0.02
56000, 0.00413, 0.02
57000, 0.00405, 0.02
58000, 0.00414, 0.02
59000, 0.00410, 0.02
60000, 0.00409, 0.02
61000, 0.00411, 0.02
62000, 0.00402, 0.02
63000, 0.00402, 0.02
64000, 0.00401, 0.02
65000, 0.00402, 0.02
66000, 0.00391, 0.02
67000, 0.00388, 0.02
68000, 0.00389, 0.02
69000, 0.00376, 0.02
70000, 0.00393, 0.02
71000, 0.00376, 0.02
72000, 0.00375, 0.02
73000, 0.00377, 0.02
74000, 0.00388, 0.02
75000, 0.00376, 0.02
76000, 0.00373, 0.02
77000, 0.00373, 0.02
78000, 0.00366, 0.02
79000, 0.00360, 0.02
80000, 0.00368, 0.02
81000, 0.00365, 0.02
82000, 0.00367, 0.02
83000, 0.00356, 0.02
84000, 0.00358, 0.02
85000, 0.00367, 0.02
86000, 0.00354, 0.02
87000, 0.00358, 0.02
88000, 0.00350, 0.02
89000, 0.00357, 0.02
90000, 0.00346, 0.02
91000, 0.00360, 0.02
92000, 0.00353, 0.02
93000, 0.00366, 0.02
94000, 0.00356, 0.02
95000, 0.00343, 0.02
96000, 0.00346, 0.02
97000, 0.00348, 0.02
98000, 0.00361, 0.02
99000, 0.00338, 0.02
100000, 0.00348, 0.02
