1000, 0.03574, 0.005
2000, 0.01929, 0.005
3000, 0.01605, 0.005
4000, 0.01438, 0.005
5000, 0.01303, 0.005
6000, 0.01225, 0.005
7000, 0.01126, 0.005
8000, 0.01079, 0.005
9000, 0.01006, 0.005
10000, 0.00975, 0.005
11000, 0.01202, 0.02
12000, 0.01047, 0.02
13000, 0.00922, 0.02
14000, 0.00863, 0.02
15000, 0.00817, 0.02
16000, 0.00753, 0.02
17000, 0.00709, 0.02
18000, 0.00683, 0.02
19000, 0.00674, 0.02
20000, 0.00634, 0.02
21000, 0.00617, 0.02
22000, 0.00626, 0.02
23000, 0.00589, 0.02
24000, 0.00582, 0.02
25000, 0.00566, 0.02
26000, 0.00561, 0.02
27000, 0.00536, 0.02
28000, 0.00526, 0.02
29000, 0.00520, 0.02
30000, 0.00511, 0.02
31000, 0.00497, 0.02
32000, 0.00492, 0.02
33000, 0.00485, 0.02
34000, 0.00486, 0.02
35000, 0.00477, 0.02
36000, 0.00466, 0.02
37000, 0.00471, 0.02
38000, 0.00453, 0.02
39000, 0.00453, 0.02
40000, 0.00454, 0.02
41000, 0.00436, 0.02
42000, 0.00440, 0.02
43000, 0.00427, 0.02
44000, 0.00441, 0.02
45000, 0.00420, 0.02
46000, 0.00413, 0.02
47000, 0.00412, 0.02
48000, 0.00417, 0.02
49000, 0.00407, 0.02
50000, 0.00399, 0.02
51000, 0.00393, 0.02
52000, 0.00396, 0.02
53000, 0.00396, 0.02
54000, 0.00380, 0.02
55000, 0.00391, 0.02
56000, 0.00382, 0.02
57000, 0.00381, 0.02
58000, 0.00378, 0.02
59000, 0.00370, 0.02
60000, 0.00381, 0.02
61000, 0.00370, 0.02
62000, 0.00363, 0.02
63000, 0.00363, 0.02
64000, 0.00359, 0.02
65000, 0.00365, 0.02
66000, 0.00350, 0.02
67000, 0.00356, 0.02
68000, 0.00361, 0.02
69000, 0.00351, 0.02
70000, 0.00346, 0.02
71000, 0.00344, 0.02
72000, 0.00337, 0.02
73000, 0.00338, 0.02
74000, 0.00338, 0.02
75000, 0.00334, 0.02
76000, 0.00333, 0.02
77000, 0.00328, 0.02
78000, 0.00330, 0.02
79000, 0.00315, 0.02
80000, 0.00323, 0.02
81000, 0.00317, 0.02
82000, 0.00323, 0.02
83000, 0.00326, 0.02
84000, 0.00315, 0.02
85000, 0.00316, 0.02
86000, 0.00307, 0.02
87000, 0.00310, 0.02
88000, 0.00323, 0.02
89000, 0.00309, 0.02
90000, 0.00319, 0.02
91000, 0.00300, 0.02
92000, 0.00303, 0.02
93000, 0.00307, 0.02
94000, 0.00294, 0.02
95000, 0.00307, 0.02
96000, 0.00302, 0.02
97000, 0.00296, 0.02
98000, 0.00289, 0.02
99000, 0.00295, 0.02
100000, 0.00296, 0.02
